feature,mean_abs_shap
et0_fao_evapotranspiration,0.02374893823919391
precip_roll_7d,0.02043148389237681
precip_lag_1,0.006320418706738702
precip_lag_3,0.0041135870612517235
wind_speed_10m_max,0.004077830432764862
temp_roll_7d,0.002581882176902658
temp_lag_1,0.0022261235405556436
shortwave_radiation_sum,0.0018345945684433527
precip_lag_7,0.001815150258605168
temp_lag_3,0.0013843634347466903
temp_range,0.0013534629585539347
doy_sin,0.0013212195677074206
temp_roll_30d,0.0011381414863460987
doy_cos,0.000918991840603502
precip_roll_30d,0.0007763342267786492
temp_lag_7,0.000690558079433121
is_monsoon,0.0005589344774539083
month_sin,0.0001224712057631607
month_cos,5.438108540155702e-05
