iter	RMSE
0	0.04631763605
1	0.03993724662
2	0.03611189991
3	0.03412711033
4	0.03308186613
5	0.03214083002
6	0.03130761268
7	0.03087178446
8	0.03031918123
9	0.02997645672
10	0.02939793602
11	0.02895224581
12	0.02845613211
13	0.02818149313
14	0.02786905151
15	0.02767425095
16	0.02742019513
17	0.02720121423
18	0.02685257765
19	0.02668915001
20	0.02644724989
21	0.02628562579
22	0.02599578535
23	0.02579051576
24	0.02561260478
25	0.02541491624
26	0.02525026791
27	0.02504418215
28	0.02491546299
29	0.02470629957
30	0.02446718912
31	0.02434189423
32	0.02421350735
33	0.02407470133
34	0.02388529385
35	0.02372919831
36	0.02355159692
37	0.02343345101
38	0.02325602154
39	0.02311100246
40	0.02299111084
41	0.02283864948
42	0.02269186372
43	0.0225694408
44	0.0224549889
45	0.02235769965
46	0.02228438158
47	0.02219126876
48	0.02208169814
49	0.02196878104
50	0.02187120868
51	0.02179035633
52	0.02170611253
53	0.02165037935
54	0.02152718516
55	0.0214320934
56	0.0213663646
57	0.02128605026
58	0.0212034485
59	0.02107443009
60	0.02098358726
61	0.02094144198
62	0.02085160928
63	0.02076347013
64	0.02068505658
65	0.02063487859
66	0.0205682763
67	0.02048036792
68	0.02037844839
69	0.02032405363
70	0.0202551017
71	0.0201786061
72	0.02013902827
73	0.02004150087
74	0.01995260709
75	0.01987860525
76	0.01979395691
77	0.01974039275
78	0.01966122384
79	0.01958626315
80	0.01952595481
81	0.01944185212
82	0.01937371054
83	0.01931219794
84	0.01926914112
85	0.01917203148
86	0.01910835312
87	0.01904025324
88	0.01898642936
89	0.01894045598
90	0.01887563354
91	0.01880467346
92	0.01872762153
93	0.01865994216
94	0.01862479777
95	0.01856726671
96	0.01848761375
97	0.01841145708
98	0.01834992826
99	0.01831697058
